algo,round_index,seed,ticks,killed,remaining,mean_survival_s,mean_compute_ops,decision_count,total_compute_ops
transformer_train,147,20260970,2260,10,10,13.82800000,45301.23367411,9586,434257626.00000000
transformer_train,148,20260971,2260,12,8,14.10500000,45301.08972589,10142,459443652.00000000
transformer_train,149,20260972,2260,9,11,16.26000000,45301.01031213,14449,654554298.00000000
transformer_train,150,20260973,2225,12,8,12.59500000,45300.80653877,7402,335316570.00000000
transformer_train,151,20260974,2205,11,9,13.36500000,45300.06691572,9101,412275909.00000000
transformer_train,152,20260975,2210,12,8,14.04100000,45302.24275014,10414,471777556.00000006
transformer_train,153,20260976,2260,10,10,14.39700000,45300.96307348,10724,485807528.00000000
transformer_train,154,20260977,2260,12,8,13.34750000,45301.64796569,8627,390817317.00000000
transformer_train,155,20260978,2260,12,8,14.60350000,45301.80491965,11139,504616805.00000000
transformer_train,156,20260979,2260,12,8,13.81700000,45302.02122099,9566,433359135.00000000
transformer_train,157,20260980,2260,9,11,15.94100000,45302.49214394,13811,625672719.00000000
transformer_train,158,20260981,2254,11,9,15.49450000,45302.47671191,12968,587482518.00000000
transformer_train,159,20260982,2185,9,11,15.31350000,45302.00190027,13156,595993137.00000000
transformer_train,160,20260983,2260,12,8,14.31150000,45301.26167693,10555,478154817.00000000
transformer_train,161,20260984,2260,10,10,16.03100000,45301.63807890,13992,633860520.00000000
transformer_train,162,20260985,2260,11,9,13.68900000,45300.14362445,9309,421699037.00000000
transformer_train,163,20260986,2260,10,10,14.86800000,45301.39062232,11666,528486023.00000000
transformer_train,164,20260987,2260,12,8,13.58600000,45300.43277680,9104,412415140.00000000
transformer_train,165,20260988,2244,12,8,16.15150000,45303.58031052,14363,650695324.00000000
transformer_train,166,20260989,2260,12,8,13.43450000,45300.35439155,8801,398688419.00000000
transformer_train,167,20260990,2144,12,8,14.34300000,45301.01420405,11546,523045510.00000000
transformer_train,168,20260991,2260,11,9,13.78700000,45300.79421357,9505,430584049.00000000
transformer_train,169,20260992,2260,10,10,14.09500000,45300.38794466,10120,458439926.00000006
transformer_train,170,20260993,2260,10,10,14.28750000,45301.56116135,10505,475892900.00000000
transformer_train,171,20260994,2260,11,9,15.11950000,45302.68931800,12170,551333729.00000000
transformer_train,172,20260995,2260,12,8,13.13900000,45299.69853837,8210,371910525.00000000
transformer_train,173,20260996,2260,11,9,15.63450000,45300.99674242,13200,597973157.00000000
transformer_train,174,20260997,2173,11,9,13.53450000,45299.43894389,9696,439223360.00000000
transformer_train,175,20260998,2202,12,8,14.91500000,45302.61238345,12226,553869739.00000000
transformer_train,176,20260999,2260,11,9,14.20800000,45300.79105055,10347,468727285.00000000
transformer_train,177,20261000,2260,12,8,13.73300000,45300.10736327,9398,425730409.00000006
transformer_train,178,20261001,2223,12,8,14.00500000,45302.72553233,10238,463809304.00000006
transformer_train,179,20261002,2196,11,9,13.47450000,45300.58517888,9392,425463096.00000000
transformer_train,180,20261003,2230,11,9,14.23800000,45301.32215648,10647,482323177.00000000
transformer_train,181,20261004,2260,11,9,14.03050000,45298.88050440,9992,452626414.00000000
transformer_train,182,20261005,2239,12,8,12.83500000,45301.00862291,7770,351988837.00000000
transformer_train,183,20261006,2260,12,8,12.15250000,45300.85473785,6237,282541431.00000000
transformer_train,184,20261007,2260,11,9,15.02600000,45300.48727364,11983,542835739.00000000
transformer_train,185,20261008,2260,11,9,13.63600000,45301.00880148,9203,416905184.00000000
transformer_train,186,20261009,2213,11,9,14.94450000,45301.49622827,12196,552497048.00000000
transformer_train,187,20261010,2230,10,10,14.64200000,45301.96918107,11454,518888755.00000000
transformer_train,188,20261011,2260,12,8,14.22850000,45301.75984214,10389,470639983.00000000
transformer_train,189,20261012,2260,11,9,13.47350000,45299.68258617,8878,402170582.00000000
transformer_train,190,20261013,2260,12,8,13.93850000,45300.49158936,9809,444352522.00000000
transformer_train,191,20261014,2260,12,8,14.40050000,45300.33038293,10733,486208446.00000000
transformer_train,192,20261015,2260,11,9,13.15950000,45299.20000000,8250,373718400.00000000
transformer_train,193,20261016,2232,12,8,14.02950000,45302.31884484,10215,462763187.00000000
transformer_train,194,20261017,2189,12,8,13.12200000,45301.82959744,8744,396119198.00000000
transformer_train,195,20261018,2260,12,8,14.11150000,45301.42255047,10155,460035946.00000000
transformer_train,196,20261019,2168,12,8,12.99450000,45300.99353125,8657,392170701.00000000
transformer_train,197,20261020,2260,10,10,14.94400000,45300.40836013,11818,535360226.00000000
transformer_train,198,20261021,2260,11,9,16.23050000,45303.23082268,14392,652004098.00000000
transformer_train,199,20261022,2250,12,8,13.27650000,45302.59789842,8565,388016751.00000000
