algo,round_index,seed,ticks,killed,remaining,mean_survival_s,mean_compute_ops,decision_count,total_compute_ops
transformer_train,146,20260969,2400,10,10,16.62300000,45307.38090495,14056,636840546.00000000
transformer_train,147,20260970,2400,10,10,14.88550000,45306.72157641,10581,479390421.00000000
transformer_train,148,20260971,2400,9,11,16.49900000,45307.60679366,13807,625562127.00000000
transformer_train,149,20260972,2400,11,9,15.03300000,45307.17155466,10877,492806104.99999994
transformer_train,150,20260973,2400,8,12,16.53300000,45307.21306040,13874,628592274.00000000
transformer_train,151,20260974,2400,10,10,15.48900000,45307.12283678,11788,534080364.00000000
transformer_train,152,20260975,2400,11,9,15.61550000,45307.56718153,12042,545593724.00000000
transformer_train,153,20260976,2400,10,10,15.73100000,45307.43676662,12272,556012864.00000000
transformer_train,154,20260977,2400,11,9,15.13350000,45307.12619606,11078,501912344.00000000
transformer_train,155,20260978,2400,9,11,17.09050000,45307.18412275,14990,679154690.00000000
transformer_train,156,20260979,2400,10,10,15.89000000,45307.17474186,12590,570417330.00000000
transformer_train,157,20260980,2400,11,9,15.45050000,45307.48753415,11712,530641294.00000000
transformer_train,158,20260981,2400,10,10,16.50850000,45307.48383597,13827,626466579.00000000
transformer_train,159,20260982,2400,10,10,15.55300000,45306.88217523,11916,539876808.00000000
transformer_train,160,20260983,2400,12,8,14.98850000,45307.89702475,10789,488826901.00000000
transformer_train,161,20260984,2400,9,11,16.83700000,45307.26182421,14483,656185073.00000000
transformer_train,162,20260985,2400,11,9,14.91450000,45307.53439850,10640,482072166.00000000
transformer_train,163,20260986,2400,11,9,15.01850000,45306.98174779,10848,491490138.00000000
transformer_train,164,20260987,2400,11,9,15.48700000,45307.10097582,11785,533944184.99999994
transformer_train,165,20260988,2400,12,8,16.28150000,45308.09981308,13375,605995835.00000000
transformer_train,166,20260989,2400,11,9,15.33750000,45307.41702943,11486,520400992.00000006
transformer_train,167,20260990,2400,11,9,15.82650000,45307.28048780,12464,564709944.00000000
transformer_train,168,20260991,2400,11,9,15.48150000,45307.43876338,11774,533449783.99999994
transformer_train,169,20260992,2400,11,9,14.03350000,45307.11489074,8878,402236566.00000000
transformer_train,170,20260993,2400,11,9,14.79000000,45307.07621981,10391,470785829.00000000
transformer_train,171,20260994,2400,11,9,14.26350000,45307.31034483,9338,423079664.00000000
transformer_train,172,20260995,2400,10,10,15.78500000,45307.30597738,12380,560904448.00000000
transformer_train,173,20260996,2400,11,9,16.41700000,45307.67863686,13645,618223275.00000000
transformer_train,174,20260997,2400,11,9,15.47200000,45307.21335602,11755,532586293.00000000
transformer_train,175,20260998,2400,11,9,16.20100000,45307.50707636,13213,598648091.00000000
transformer_train,176,20260999,2400,10,10,15.79250000,45307.45389270,12395,561585891.00000000
transformer_train,177,20261000,2400,11,9,15.50350000,45307.27297343,11818,535441351.99999994
transformer_train,178,20261001,2400,9,11,17.63350000,45307.32184623,16076,728360506.00000000
transformer_train,179,20261002,2400,10,10,15.54950000,45307.00050382,11909,539561069.00000000
transformer_train,180,20261003,2400,10,10,16.80200000,45307.36631053,14414,653060378.00000000
transformer_train,181,20261004,2400,10,10,15.94900000,45307.49087189,12708,575767594.00000000
transformer_train,182,20261005,2400,10,10,15.80300000,45307.18701675,12416,562534034.00000000
transformer_train,183,20261006,2400,10,10,15.83200000,45307.08722142,12474,565160606.00000000
transformer_train,184,20261007,2400,10,10,16.68200000,45307.33286299,14174,642186136.00000000
transformer_train,185,20261008,2400,9,11,15.70200000,45307.39875542,12213,553339261.00000000
transformer_train,186,20261009,2400,11,9,16.21150000,45307.31872450,13234,599597056.00000000
transformer_train,187,20261010,2400,11,9,15.38250000,45307.38614375,11576,524478302.00000000
transformer_train,188,20261011,2400,9,11,17.02650000,45307.66895438,14862,673362576.00000000
transformer_train,189,20261012,2400,9,11,15.61300000,45306.95695887,12035,545269227.00000000
transformer_train,190,20261013,2400,11,9,15.72950000,45307.51801141,12270,555923246.00000000
transformer_train,191,20261014,2400,11,9,16.08900000,45307.66179075,12989,588501219.00000000
transformer_train,192,20261015,2400,9,11,16.36200000,45307.14187542,13533,613141551.00000000
transformer_train,193,20261016,2400,9,11,16.53950000,45307.07128456,13888,629224606.00000000
transformer_train,194,20261017,2400,10,10,16.29450000,45307.26345250,13399,607072023.00000000
transformer_train,195,20261018,2400,9,11,16.75350000,45307.25523889,14316,648618666.00000000
transformer_train,196,20261019,2400,10,10,15.64150000,45306.86273051,12093,547895891.00000000
transformer_train,197,20261020,2400,11,9,15.26600000,45307.26306973,11343,513920285.00000000
transformer_train,198,20261021,2400,12,8,15.07800000,45307.45660102,10968,496932183.99999994
transformer_train,199,20261022,2400,10,10,15.76200000,45307.08334685,12334,558817566.00000000
